
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000434                       # Number of seconds simulated (Second)
simTicks                                    434498000                       # Number of ticks simulated (Tick)
finalTick                                   434498000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.40                       # Real time elapsed on the host (Second)
hostTickRate                                 98729921                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8726764                       # Number of bytes of host memory used (Byte)
simInsts                                      1000004                       # Number of instructions simulated (Count)
simOps                                        1055119                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   227220                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     239743                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           868998                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1195236                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      135                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1168014                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    891                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               140237                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            124147                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  31                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              800749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.458652                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.311964                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    511105     63.83%     63.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     42140      5.26%     69.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     39374      4.92%     74.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     44821      5.60%     79.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     44039      5.50%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     40226      5.02%     90.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     33188      4.14%     94.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     30599      3.82%     98.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     15257      1.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                800749                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2331     15.80%     15.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   16      0.11%     15.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    22      0.15%     16.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                   16      0.11%     16.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     16.16% # attempts to use FU when none available (Count)
