
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004903                       # Number of seconds simulated (Second)
simTicks                                   4903141500                       # Number of ticks simulated (Tick)
finalTick                                  4903141500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     20.15                       # Real time elapsed on the host (Second)
hostTickRate                                243335105                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8727188                       # Number of bytes of host memory used (Byte)
simInsts                                      1000001                       # Number of instructions simulated (Count)
simOps                                        2274104                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    49627                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112856                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9806284                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2419822                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2418051                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     66                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               145743                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            128442                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9764520                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.247636                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.867648                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8815997     90.29%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    256561      2.63%     92.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    267860      2.74%     95.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    175144      1.79%     97.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    188232      1.93%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     29943      0.31%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     21745      0.22%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5079      0.05%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3959      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9764520                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     100      0.61%      0.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.02%      0.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.63% # attempts to use FU when none available (Count)
