
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000776                       # Number of seconds simulated (Second)
simTicks                                    776456500                       # Number of ticks simulated (Tick)
finalTick                                   776456500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      7.29                       # Real time elapsed on the host (Second)
hostTickRate                                106472793                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8725596                       # Number of bytes of host memory used (Byte)
simInsts                                      1000005                       # Number of instructions simulated (Count)
simOps                                        1035288                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   137118                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141956                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1552914                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1681966                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      221                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1521579                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  26436                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               646835                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            486439                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  52                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1504231                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.011533                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.605807                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    904677     60.14%     60.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    183008     12.17%     72.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    191467     12.73%     85.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     94339      6.27%     91.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     45492      3.02%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     44852      2.98%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     18577      1.23%     98.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     19622      1.30%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2197      0.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1504231                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7149      0.62%      0.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 601715     52.23%     52.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  523395     45.43%     98.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.28% # attempts to use FU when none available (Count)
